CODE OF LOCALITY,Unnamed: 1,CODE OF STATISTICAL AREA, POPULATION* ,INDEX VALUE**,     RANK   (1 to 1635),CLUSTER*** (1 to 10) ,VALUE,STANDARDIZED VALUE,RANK,VALUE.1,STANDARDIZED VALUE (1),RANK (1),VALUE.2,STANDARDIZED VALUE (1).1,RANK (1).1,VALUE.3,STANDARDIZED VALUE.1,RANK.1,VALUE.4,STANDARDIZED VALUE.2,RANK.2,VALUE.5,STANDARDIZED VALUE.3,RANK.3,VALUE.6,STANDARDIZED VALUE (1).2,RANK (1).2,VALUE.7,STANDARDIZED VALUE.4,RANK.4,VALUE.8,STANDARDIZED VALUE (1).3,RANK (1).3,VALUE.9,STANDARDIZED VALUE (1).4,RANK (1).4,VALUE.10,STANDARDIZED VALUE.5,RANK ,VALUE.11,STANDARDIZED VALUE.6,RANK.5,VALUE.12,STANDARDIZED VALUE.7,RANK.6,VALUE.13,STANDARDIZED VALUE.8,RANK.7,Unnamed: 49
31.0,אופקים,2.0,"2,773",-0.541,375.0,4.0,36.0,1.23,934.5,78.9,0.63,1101.0,12.48,0.3,553.0,11.99,-0.8,350.0,16.37,-1.02,296.0,83.59,0.01,497.0,15.32,0.32,484.0,5.21,-0.81,409.0,41.98,0.02,519.0,15.0,-2.54,135.0,"5,360",-0.25,477.0,37.88,-1.43,474.0,"1,324",-0.86,652.0,3.65,-0.88,183.0,OFAQIM
31.0,אופקים,3.0,"3,045",-0.964,254.0,3.0,30.0,0.24,399.0,79.4,0.6,1084.0,13.05,0.25,514.0,11.82,-0.94,291.0,15.07,-1.1,256.0,81.67,-0.26,377.0,17.23,0.16,344.0,3.94,-0.96,294.0,51.66,-1.15,184.0,14.74,-2.47,139.0,"4,516",-0.61,284.0,30.79,-2.01,252.0,"1,287",-1.26,340.0,3.08,-1.01,124.0,OFAQIM
31.0,אופקים,4.0,"3,044",-0.909,271.0,3.0,22.0,-1.08,174.0,110.9,-0.88,241.0,31.67,-1.33,188.0,12.7,-0.22,716.0,17.76,-0.94,343.0,76.96,-0.92,231.0,11.76,0.6,959.0,5.95,-0.72,479.0,47.29,-0.62,302.0,3.72,0.26,849.0,"3,845",-0.89,211.0,34.14,-1.73,357.0,"1,346",-0.62,828.0,2.47,-1.16,71.0,OFAQIM
31.0,אופקים,6.0,"6,123",-1.723,106.0,1.0,21.0,-1.24,156.0,111.8,-0.92,232.0,36.51,-1.74,150.0,12.31,-0.53,485.0,8.54,-1.48,88.0,70.17,-1.87,119.0,14.79,0.36,542.0,1.6,-1.25,43.0,59.61,-2.11,69.0,9.05,-1.06,366.0,"2,736",-1.35,120.0,19.64,-2.92,100.0,"1,255",-1.6,143.0,1.1,-1.49,3.0,OFAQIM
31.0,אופקים,7.0,"10,424",-0.093,611.0,5.0,25.0,-0.58,235.5,95.2,-0.14,479.0,21.85,-0.5,276.0,12.92,-0.03,834.0,23.49,-0.59,538.0,86.66,0.44,810.0,9.62,0.78,1373.0,9.95,-0.23,815.0,34.5,0.92,1053.0,4.44,0.08,775.0,"5,190",-0.32,434.0,51.99,-0.27,1046.0,"1,393",-0.11,1133.0,3.8,-0.84,200.0,OFAQIM
2400.0,אור יהודה,1.0,"5,920",0.287,857.0,6.0,29.0,0.08,353.5,83.1,0.42,930.0,11.28,0.4,615.0,12.42,-0.44,539.0,19.35,-0.84,393.0,91.27,1.09,1561.0,8.18,0.89,1554.0,10.02,-0.22,818.0,32.59,1.15,1236.0,2.21,0.63,1111.0,"6,305",0.14,787.0,56.94,0.14,1197.0,"1,401",-0.02,1176.0,5.91,-0.33,493.0,OR YEHUDA
2400.0,אור יהודה,2.0,"2,400",-0.125,590.0,5.0,36.0,1.23,934.5,88.3,0.18,695.0,11.74,0.36,593.0,11.84,-0.92,298.0,15.02,-1.1,255.0,89.51,0.84,1354.0,10.91,0.67,1140.0,5.56,-0.76,443.0,38.43,0.45,744.0,4.37,0.1,778.0,"5,825",-0.06,620.0,44.21,-0.91,758.0,"1,278",-1.36,274.0,3.83,-0.83,204.0,OR YEHUDA
2400.0,אור יהודה,3.0,"2,332",-0.323,471.0,5.0,33.0,0.74,612.0,82.1,0.48,971.0,11.1,0.41,624.0,11.57,-1.15,208.0,11.22,-1.32,152.0,88.83,0.75,1218.0,10.57,0.7,1204.0,3.65,-1.0,246.0,39.34,0.34,687.0,5.11,-0.09,714.0,"4,987",-0.41,379.0,41.88,-1.1,639.0,"1,268",-1.46,215.0,3.7,-0.86,188.0,OR YEHUDA
2400.0,אור יהודה,4.0,"3,505",-0.265,507.0,5.0,33.0,0.74,612.0,80.7,0.54,1029.0,13.28,0.23,501.0,11.69,-1.05,249.0,12.09,-1.27,174.0,89.99,0.91,1425.0,9.5,0.79,1388.0,3.67,-0.99,251.0,40.34,0.22,625.0,5.25,-0.12,698.0,"5,265",-0.29,454.0,42.63,-1.04,671.0,"1,312",-0.99,558.0,4.23,-0.73,245.0,OR YEHUDA
2400.0,אור יהודה,5.0,"2,023",-0.85,287.0,3.0,33.0,0.74,612.0,77.7,0.68,1155.0,15.12,0.07,423.0,10.71,-1.86,68.0,4.98,-1.7,16.0,84.65,0.16,571.0,16.7,0.2,379.0,1.89,-1.21,70.0,45.24,-0.37,366.0,10.21,-1.35,286.0,"4,579",-0.58,292.0,34.01,-1.74,350.0,"1,218",-2.01,36.0,4.38,-0.7,266.0,OR YEHUDA
2400.0,אור יהודה,7.0,"3,261",-0.614,357.0,4.0,33.0,0.74,612.0,69.7,1.06,1394.0,12.73,0.28,534.0,11.11,-1.53,117.0,9.14,-1.45,95.0,86.74,0.45,828.0,12.89,0.51,752.0,2.54,-1.13,141.0,45.03,-0.35,382.0,8.36,-0.89,412.0,"4,792",-0.49,341.0,36.21,-1.56,414.0,"1,254",-1.61,138.0,4.02,-0.79,227.0,OR YEHUDA
2400.0,אור יהודה,8.0,"1,797",-0.726,322.0,3.0,33.3524011299435,0.795635593220339,522.5,92.10557909604522,0.0037711864406779,1324.0,13.857704802259889,0.1800847457627119,559.0,12.973418079096046,0.0096327683615819,131.0,34.42870762711865,0.0557485875706214,105.0,84.30531073446328,0.1135522598870056,508.0,14.6646186440678,0.3680014124293784,514.0,12.911716101694916,0.1341031073446327,107.0,39.00864406779661,0.3776271186440678,325.0,5.820155367231639,-0.2617937853107344,449.0,"5,130",0.3382132768361582,299.0,46.64464689265537,-0.7051906779661017,395.0,"1,304",-0.4252401129943502,87.0,8.701814971751412,0.3454378531073446,141.0,OR YEHUDA
2400.0,אור יהודה,9.0,"7,181",0.677,1069.0,7.0,34.0,0.9,718.5,76.2,0.75,1221.0,9.17,0.58,742.0,13.13,0.14,931.0,29.62,-0.23,760.0,89.35,0.82,1320.0,11.19,0.65,1084.0,15.23,0.42,1081.0,34.5,0.92,1052.0,0.82,0.98,1471.0,"7,881",0.8,1116.0,59.88,0.38,1285.0,"1,382",-0.22,1083.0,8.09,0.2,861.0,OR YEHUDA
2400.0,אור יהודה,10.0,"3,332",0.954,1206.0,7.0,34.0,0.9,718.5,75.6,0.78,1242.0,8.23,0.66,840.0,13.18,0.18,959.0,34.21,0.04,913.0,91.55,1.13,1588.0,8.18,0.89,1555.0,18.88,0.86,1222.0,32.11,1.21,1264.0,1.07,0.91,1403.0,"8,675",1.13,1265.0,63.69,0.69,1392.0,"1,397",-0.06,1158.0,9.55,0.55,1057.0,OR YEHUDA
2400.0,אור יהודה,11.0,220,-0.927,265.0,3.0,33.3524011299435,0.795635593220339,1560.5,92.10557909604522,0.0037711864406779,120.0,13.857704802259889,0.1800847457627119,1417.0,12.973418079096046,0.0096327683615819,173.0,34.42870762711865,0.0557485875706214,19.0,84.30531073446328,0.1135522598870056,221.0,14.6646186440678,0.3680014124293784,222.0,12.911716101694916,0.1341031073446327,450.0,39.00864406779661,0.3776271186440678,473.0,5.820155367231639,-0.2617937853107344,76.0,"5,130",0.3382132768361582,426.0,46.64464689265537,-0.7051906779661017,333.0,"1,304",-0.4252401129943502,631.0,8.701814971751412,0.3454378531073446,15.0,OR YEHUDA
2400.0,אור יהודה,12.0,"4,168",-0.048,642.0,5.0,34.0,0.9,718.5,78.8,0.63,1103.0,13.47,0.21,491.0,12.08,-0.73,382.0,17.67,-0.94,339.0,86.79,0.46,840.0,12.74,0.52,779.0,6.37,-0.66,509.0,40.54,0.19,611.0,4.08,0.17,804.0,"5,670",-0.12,571.0,54.32,-0.07,1128.0,"1,378",-0.27,1067.0,5.36,-0.46,409.0,OR YEHUDA
2400.0,אור יהודה,13.0,462,0.335,900.0,6.0,33.3524011299435,0.795635593220339,1047.5,92.10557909604522,0.0037711864406779,1178.0,13.857704802259889,0.1800847457627119,868.0,12.973418079096046,0.0096327683615819,564.0,34.42870762711865,0.0557485875706214,466.0,84.30531073446328,0.1135522598870056,704.0,14.6646186440678,0.3680014124293784,747.0,12.911716101694916,0.1341031073446327,921.0,39.00864406779661,0.3776271186440678,849.0,5.820155367231639,-0.2617937853107344,1368.0,"5,130",0.3382132768361582,954.0,46.64464689265537,-0.7051906779661017,1224.0,"1,304",-0.4252401129943502,1064.0,8.701814971751412,0.3454378531073446,354.0,OR YEHUDA
1020.0,אור עקיבא,1.0,"4,882",0.407,938.0,6.0,28.0,-0.09,316.0,96.5,-0.2,442.0,10.9,0.43,637.0,13.08,0.1,916.0,30.18,-0.2,792.0,90.39,0.97,1473.0,9.0,0.83,1465.0,11.27,-0.07,890.0,31.23,1.32,1341.0,2.53,0.55,1039.0,"5,948",-0.01,663.0,62.37,0.59,1359.0,"1,402",-0.01,1187.0,6.15,-0.27,525.0,OR AQIVA
1020.0,אור עקיבא,2.0,"3,066",-0.803,305.0,3.0,37.0,1.4,1047.5,71.8,0.96,1343.0,10.39,0.47,671.0,11.17,-1.48,121.0,9.11,-1.45,94.0,82.54,-0.13,426.0,15.66,0.29,449.0,1.28,-1.29,22.0,45.45,-0.4,361.0,14.66,-2.45,143.0,"4,669",-0.54,310.0,33.4,-1.79,332.0,"1,246",-1.7,106.0,4.01,-0.79,223.0,OR AQIVA
1020.0,אור עקיבא,3.0,"4,704",-0.378,439.0,5.0,33.0,0.74,612.0,75.6,0.78,1245.0,11.92,0.34,583.0,12.07,-0.73,379.0,13.82,-1.17,228.0,84.59,0.15,567.0,13.32,0.48,686.0,4.88,-0.85,375.0,44.37,-0.27,410.0,6.84,-0.52,532.0,"5,179",-0.33,428.0,44.71,-0.86,775.0,"1,307",-1.04,514.0,4.1,-0.77,233.0,OR AQIVA
1020.0,אור עקיבא,4.0,"2,232",0.404,937.0,6.0,37.0,1.4,1047.5,72.4,0.93,1334.0,9.42,0.56,729.0,12.87,-0.07,805.0,26.28,-0.43,635.0,91.95,1.18,1612.0,6.51,1.03,1626.0,8.99,-0.34,743.0,35.17,0.84,1010.0,7.58,-0.7,479.0,"6,613",0.27,859.0,53.43,-0.15,1094.0,"1,362",-0.44,959.0,7.12,-0.04,687.0,OR AQIVA
1020.0,אור עקיבא,5.0,"3,914",0.251,835.0,6.0,37.0,1.4,1047.5,75.0,0.81,1268.0,4.1,1.01,1350.0,12.79,-0.14,764.0,28.77,-0.28,729.0,89.12,0.79,1278.0,11.2,0.65,1081.0,7.69,-0.5,624.0,33.74,1.01,1127.0,11.95,-1.78,219.0,"6,284",0.13,778.0,48.91,-0.52,934.0,"1,347",-0.61,839.0,8.5,0.3,929.0,OR AQIVA
565.0,אזור,1.0,"4,189",0.876,1160.0,7.0,35.0,1.07,829.5,75.1,0.8,1265.0,9.57,0.54,720.0,13.05,0.08,897.0,32.26,-0.07,850.0,90.93,1.04,1535.0,7.84,0.92,1583.0,15.78,0.48,1099.0,32.01,1.22,1273.0,0.78,0.99,1483.0,"8,004",0.85,1140.0,64.95,0.8,1421.0,"1,428",0.27,1297.0,9.22,0.47,1019.0,AZOR
565.0,אזור,2.0,"3,901",0.407,940.0,6.0,35.0,1.07,829.5,75.2,0.8,1262.0,8.4,0.64,827.0,12.35,-0.51,500.0,24.91,-0.51,594.0,89.17,0.79,1291.0,10.2,0.73,1271.0,10.27,-0.19,832.0,34.21,0.96,1081.0,3.2,0.39,923.0,"6,928",0.4,937.0,56.51,0.11,1182.0,"1,347",-0.6,846.0,7.61,0.08,778.0,AZOR
565.0,אזור,3.0,"4,721",0.487,978.0,7.0,33.0,0.74,612.0,80.4,0.55,1045.0,12.28,0.31,565.0,12.73,-0.19,731.0,25.95,-0.45,620.0,89.58,0.85,1371.0,10.65,0.69,1185.0,12.49,0.08,955.0,32.13,1.21,1262.0,2.01,0.68,1152.0,"6,982",0.42,950.0,59.3,0.33,1269.0,"1,389",-0.15,1119.0,7.13,-0.03,690.0,AZOR
2600.0,אילת,11.0,246,0.443,957.0,7.0,33.3524011299435,0.795635593220339,1047.5,92.10557909604522,0.0037711864406779,1614.0,13.857704802259889,0.1800847457627119,990.0,12.973418079096046,0.0096327683615819,232.0,34.42870762711865,0.0557485875706214,283.0,84.30531073446328,0.1135522598870056,1307.0,14.6646186440678,0.3680014124293784,409.0,12.911716101694916,0.1341031073446327,641.0,39.00864406779661,0.3776271186440678,1189.0,5.820155367231639,-0.2617937853107344,1145.0,"5,130",0.3382132768361582,1081.0,46.64464689265537,-0.7051906779661017,444.0,"1,304",-0.4252401129943502,1203.0,8.701814971751412,0.3454378531073446,1391.0,ELAT
2600.0,אילת,12.0,766,-0.257,516.0,5.0,33.3524011299435,0.795635593220339,1411.0,92.10557909604522,0.0037711864406779,1571.0,13.857704802259889,0.1800847457627119,1464.0,12.973418079096046,0.0096327683615819,49.0,34.42870762711865,0.0557485875706214,250.0,84.30531073446328,0.1135522598870056,257.0,14.6646186440678,0.3680014124293784,208.0,12.911716101694916,0.1341031073446327,235.0,39.00864406779661,0.3776271186440678,921.0,5.820155367231639,-0.2617937853107344,379.0,"5,130",0.3382132768361582,542.0,46.64464689265537,-0.7051906779661017,321.0,"1,304",-0.4252401129943502,445.0,8.701814971751412,0.3454378531073446,1292.0,ELAT
